paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
CICC-2016-P0001,CICC,CICC,2016,missing,CICC 2016 accepted-paper coverage marker: no reliable title-level source found in this run,,,,other,,,,,,https://dblp.org/db/conf/cicc/index.html,,,,CICC source-discovery audit for 2016,https://dblp.org/db/conf/cicc/index.html,bib_index,secondary,needs_review,low,,,coverage_gap,,,uncertain,Crossref exact CICC/container query returned zero 2016 rows; DBLP index access was unstable and public index did not expose 2016 in the captured pass.,,,,,none,,,no,title|authors|doi|official_url,"Missing coverage marker, not a paper."
CICC-2019-P0085,CICC,CICC,2019,complete,An LPTV Noise Cancellation Technique for a 0.9-V Filtering-by-Aliasing Receiver Front-End with >67-dB Stopband Rejection,Shi Bu|Sameed Hameed|Sudhakar Pamarti,Technical Program,,accepted_paper,10.1109/cicc.2019.8780315,,https://doi.org/10.1109/cicc.2019.8780315,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780315,paper,primary,verified,high,T10/T12,wireline_optical_io,serdes|wireline|pam4|optical|cdr|tia|die-to-die,CICC-C01,"Wireline, SerDes, optical I/O, and die-to-die links",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0086,CICC,CICC,2019,complete,An mm-Wave Synthesizer with Low In-Band Noise and Robust Locking Reference-Sampling PLL,Dongyi Liao|Yucai Zhang|Zhenqi Chen|Yanjie Wang|Fa Foster Dai,Technical Program,,accepted_paper,10.1109/cicc.2019.8780204,,https://doi.org/10.1109/cicc.2019.8780204,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780204,paper,primary,verified,high,T12,rf_mmwave_thz,rf|mmwave|pll|radar|wireless|thz,CICC-C02,"RF, mmWave, THz, radar, wireless, and clock generation",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0087,CICC,CICC,2019,complete,An Sram-Based Accelerator for Solving Partial Differential Equations,Thomas Chen|Jacob Botimer|Teyuh Chou|Zhengya Zhang,Technical Program,,accepted_paper,10.1109/cicc.2019.8780234,,https://doi.org/10.1109/cicc.2019.8780234,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780234,paper,primary,verified,high,T05/T06/T10,compute_in_memory_analog_ai,compute_in_memory|analog_ai|rram|sram|neuromorphic|pim,CICC-C07,"Compute-in-memory, analog AI, and neuromorphic compute",split_candidate,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0088,CICC,CICC,2019,complete,Analog/Mixed-Signal Design Challenges in 7-nm CMOS and Beyond,Alvin L. S. Loke|Da Yang|Tin Tin Wee|Jonathan L. Holland|Patrick Isakanian|Kern Rim|Sam Yang|Jacob S. Schneider|Giri Nallapati|Sreeker Dundigal|Hasnain Lakdawala|Behnam Amelifard|Chulkyu Lee|Betty McGovern|Paul S. Holdaway|Xiaohua Kong|Burton M. Leary,Technical Program,,accepted_paper,10.1109/cicc.2019.8780346,,https://doi.org/10.1109/cicc.2019.8780346,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780346,paper,primary,verified,high,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,CICC-C10,Analog and mixed-signal building blocks,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0089,CICC,CICC,2019,complete,Analysis and IC Techniques of Wireless Power Transfer Circuits,Wing-Hung Ki,Technical Program,,accepted_paper,10.1109/cicc.2019.8780329,,https://doi.org/10.1109/cicc.2019.8780329,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780329,paper,primary,verified,high,T12,rf_mmwave_thz,rf|mmwave|pll|radar|wireless|thz,CICC-C02,"RF, mmWave, THz, radar, wireless, and clock generation",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0090,CICC,CICC,2019,complete,Area-Efficient Transposable 6T SRAM for Fast Online Learning in Neuromorphic Processors,Jongeun Koo|Jinseok Kim|Sungju Ryu|Chulsoo Kim|Jae-Joon Kim,Technical Program,,accepted_paper,10.1109/cicc.2019.8780165,,https://doi.org/10.1109/cicc.2019.8780165,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780165,paper,primary,verified,high,T05/T06/T10,compute_in_memory_analog_ai,compute_in_memory|analog_ai|rram|sram|neuromorphic|pim,CICC-C07,"Compute-in-memory, analog AI, and neuromorphic compute",split_candidate,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0091,CICC,CICC,2019,complete,BAG: A Process-Portable Framework for Generator-based AMS Circuit Design,Eric Chang|Nathan Narevsky|Krishna Settaluri|Elad Alon,Technical Program,,accepted_paper,10.1109/cicc.2019.8780349,,https://doi.org/10.1109/cicc.2019.8780349,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780349,paper,primary,verified,high,T07/T11/T12,ams_design_automation_test,eda|design_automation|test|calibration|generator,CICC-C12,"AMS design automation, generators, test, and calibration methodology",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0092,CICC,CICC,2019,complete,BSIM-BULK: Accurate Compact Model for Analog and RF Circuit Design,Chetan Gupta|Ravi Goel|Harshit Agarwal|Chenming Hu|Yogesh Singh Chauhan,Technical Program,,accepted_paper,10.1109/cicc.2019.8780155,,https://doi.org/10.1109/cicc.2019.8780155,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780155,paper,primary,verified,high,T12,rf_mmwave_thz,rf|mmwave|pll|radar|wireless|thz,CICC-C02,"RF, mmWave, THz, radar, wireless, and clock generation",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0093,CICC,CICC,2019,complete,CMOS Annealing Machine: an In-memory Computing Accelerator to Process Combinatorial Optimization Problems,Masanao Yamaoka|Takuya Okuyama|Masato Hayashi|Chihiro Yoshimura|Takashi Takemoto,Technical Program,,accepted_paper,10.1109/cicc.2019.8780296,,https://doi.org/10.1109/cicc.2019.8780296,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780296,paper,primary,verified,high,T05/T06/T10,compute_in_memory_analog_ai,compute_in_memory|analog_ai|rram|sram|neuromorphic|pim,CICC-C07,"Compute-in-memory, analog AI, and neuromorphic compute",split_candidate,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,milestone,5,In-memory computing accelerator for combinatorial optimization.,yes,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0094,CICC,CICC,2019,complete,Design-For-Safety For Automotive IC Design: Challenges And Opportunities,Alessandra Nardi|Samir Camdzic|Antonino Armato|Francesco Lertora,Technical Program,,accepted_paper,10.1109/cicc.2019.8780332,,https://doi.org/10.1109/cicc.2019.8780332,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780332,paper,primary,verified,high,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,CICC-C10,Analog and mixed-signal building blocks,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0095,CICC,CICC,2019,complete,Development of GaN Monolithic Integrated Circuits for Power Conversion,Yung C. Liang|Ruize Sun|Yee-Chia Yeo|Cezhou Zhao,Technical Program,,accepted_paper,10.1109/cicc.2019.8780294,,https://doi.org/10.1109/cicc.2019.8780294,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780294,paper,primary,verified,high,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,CICC-C10,Analog and mixed-signal building blocks,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0096,CICC,CICC,2019,complete,Digitally-Intensive Fast Frequency Modulators for FMCW Radars in CMOS : (Invited Paper),Dmytro Chetniak|Carlo Samori|Salvatore Levantino,Technical Program,,accepted_paper,10.1109/cicc.2019.8780146,,https://doi.org/10.1109/cicc.2019.8780146,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780146,paper,primary,verified,high,T12,rf_mmwave_thz,rf|mmwave|pll|radar|wireless|thz,CICC-C02,"RF, mmWave, THz, radar, wireless, and clock generation",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0097,CICC,CICC,2019,complete,Distributed Microscale Brain Implants with Wireless Power Transfer and Mbps Bi-directional Networked Communications,Vincent W. Leung|Lingxiao Cui|Sravya Alluri|Jihun Lee|Jiannan Huang|Ethan Mok|Steven Shellhammer|Ramesh Rao|Peter Asbeck|Patrick P. Mercier|Lawrence Larson|Arto Nurmikko|Farah Laiwalla,Technical Program,,accepted_paper,10.1109/cicc.2019.8780289,,https://doi.org/10.1109/cicc.2019.8780289,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780289,paper,primary,verified,high,T03/T04/T11,biomedical_sensor_interfaces,sensor|biomedical|neural|wearable|imager|lidar,CICC-C05,"Biomedical, neural, sensor, imaging, and wearable interfaces",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0098,CICC,CICC,2019,complete,Distributed Network of LDO Microregulators Providing Submicrosecond DVFS and IR Drop Compensation for a 24-Core Microprocessor in 14nm SOI CMOS,Miguel E. Perez|Michael A. Sperling|Timothy E. Diemoz|John F. Bulzacchelli|Zeynep Toprak-Deniz,Technical Program,,accepted_paper,10.1109/cicc.2019.8780190,,https://doi.org/10.1109/cicc.2019.8780190,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780190,paper,primary,verified,high,T04/T10/T12,power_management,dc-dc|ldo|pmic|power_delivery|energy_harvesting,CICC-C04,"Power management, voltage regulation, and power delivery",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0099,CICC,CICC,2019,complete,Enabling Ubiquitous Hardware Security via Energy-Efficient Primitives and Systems : (Invited Paper),Massimo Alioto|Sachin Taneja,Technical Program,,accepted_paper,10.1109/cicc.2019.8780123,,https://doi.org/10.1109/cicc.2019.8780123,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780123,paper,primary,verified,high,T08/T11/T12,security_reliability,security|puf|trng|crypto|side_channel|reliability,CICC-C08,"Security, PUF, TRNG, side-channel, and reliability circuits",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0100,CICC,CICC,2019,complete,ESD Challenges in Advanced FinFET and GAA Nanowire CMOS Technologies: Designing Diode Based ESD Protection in Advanced State of the Art Technologies,Shih-Hung Chen,Technical Program,,accepted_paper,10.1109/cicc.2019.8780136,,https://doi.org/10.1109/cicc.2019.8780136,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780136,paper,primary,verified,high,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,CICC-C10,Analog and mixed-signal building blocks,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0101,CICC,CICC,2019,complete,Flexible 16nJ/c.s. 134S/s 6b MIM C-2C ADC using Dual Gate Self-aligned Unipolar Metal-Oxide TFTs,Nikolas Papadopoulos|Soeren Steudel|Auke Jisk Kronemeijer|Marc Ameys|Kris Myny,Technical Program,,accepted_paper,10.1109/cicc.2019.8780122,,https://doi.org/10.1109/cicc.2019.8780122,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780122,paper,primary,verified,high,T11/T12,data_converters,adc|dac|sar|delta-sigma|noise-shaping|modulator,CICC-C03,Data converters and mixed-signal quantization,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0102,CICC,CICC,2019,complete,Fully Integrated Solutions for High Resolution Terahertz Imaging (Invited),Ali Mostajeran|Hamidreza Aghasi|S. M. Hossein Naghavi|Ehsan Afshari,Technical Program,22-1,accepted_paper,10.1109/cicc.2019.8780262,,https://doi.org/10.1109/cicc.2019.8780262,,,https://dblp.org/db/conf/cicc/cicc2019.html,https://www.ieee-cicc.org/2025archive/cicc-news/cicc-2019-award-winners/,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780262,paper,primary,verified,high,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,CICC-C10,Analog and mixed-signal building blocks,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,CICC-2019-A002,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules. Second-wave: Award alignment added: CICC-2019-A002. Second-wave 2026-06-27: targeted session backfill 22-1 from official CICC 2019 award page; author/title variant retained in awards.csv (https://www.ieee-cicc.org/2025archive/cicc-news/cicc-2019-award-winners/).
CICC-2019-P0103,CICC,CICC,2019,complete,High-Q Timing and Inertial Measurement Unit Chip (TIMU) with 3D Wafer-Level Packaging,Farrokh Ayazi|Haoran Wen|Yaesuk Jeong|Pranav Gupta|Anosh Daruwalla|Chang-Shun Liu,Technical Program,,accepted_paper,10.1109/cicc.2019.8780183,,https://doi.org/10.1109/cicc.2019.8780183,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780183,paper,primary,verified,high,T10/T12,wireline_optical_io,serdes|wireline|pam4|optical|cdr|tia|die-to-die,CICC-C01,"Wireline, SerDes, optical I/O, and die-to-die links",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0104,CICC,CICC,2019,complete,High-speed optical links,Azita Emami|Kuan-Chang Chen|Arian Hashemi,Technical Program,,accepted_paper,10.1109/cicc.2019.8780245,,https://doi.org/10.1109/cicc.2019.8780245,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780245,paper,primary,verified,high,T10/T12,wireline_optical_io,serdes|wireline|pam4|optical|cdr|tia|die-to-die,CICC-C01,"Wireline, SerDes, optical I/O, and die-to-die links",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0105,CICC,CICC,2019,complete,"High voltage devices, topologies and gate drivers",Yogesh Ramadass,Technical Program,,accepted_paper,10.1109/cicc.2019.8780211,,https://doi.org/10.1109/cicc.2019.8780211,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780211,paper,primary,verified,high,T04/T10/T12,power_management,dc-dc|ldo|pmic|power_delivery|energy_harvesting,CICC-C04,"Power management, voltage regulation, and power delivery",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0106,CICC,CICC,2019,complete,IC Design After Moore’s Law,Greg Yeric,Technical Program,,accepted_paper,10.1109/cicc.2019.8780343,,https://doi.org/10.1109/cicc.2019.8780343,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780343,paper,primary,verified,high,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,CICC-C10,Analog and mixed-signal building blocks,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0107,CICC,CICC,2019,complete,Introduction to Compute-in-Memory,Laura Fick|Dave Fick,Technical Program,,accepted_paper,10.1109/cicc.2019.8780261,,https://doi.org/10.1109/cicc.2019.8780261,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780261,paper,primary,verified,high,T05/T06/T10,compute_in_memory_analog_ai,compute_in_memory|analog_ai|rram|sram|neuromorphic|pim,CICC-C07,"Compute-in-memory, analog AI, and neuromorphic compute",split_candidate,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0108,CICC,CICC,2019,complete,Low-Cost Fully Autonomous Piezoelectric Energy Harvesting Interface Circuit with up to 6.14x Power Capacity Gain,Berkay Ciftci|Salar Chamanian|Hasan Ulusan|Halil Andac Yigit|Aziz Koyuncuoglu|Ali Muhtaroglu|Haluk Kulah,Technical Program,,accepted_paper,10.1109/cicc.2019.8780232,,https://doi.org/10.1109/cicc.2019.8780232,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780232,paper,primary,verified,high,T12,rf_mmwave_thz,rf|mmwave|pll|radar|wireless|thz,CICC-C02,"RF, mmWave, THz, radar, wireless, and clock generation",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0109,CICC,CICC,2019,complete,Low-Swing Links with Dynamic Energy-Quality Trade-off for Error-Resilient Applications,Viveka Konandur Rajanna|Massimo Alioto,Technical Program,,accepted_paper,10.1109/cicc.2019.8780323,,https://doi.org/10.1109/cicc.2019.8780323,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780323,paper,primary,verified,high,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,CICC-C10,Analog and mixed-signal building blocks,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0110,CICC,CICC,2019,complete,Magnetic-Tuning Millimeter-Wave CMOS Oscillators (Invited Paper),Xiaolong Liu|Zhiqiang Huang|Jun Yin|Howard C. Luong,Technical Program,,accepted_paper,10.1109/cicc.2019.8780120,,https://doi.org/10.1109/cicc.2019.8780120,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780120,paper,primary,verified,high,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,CICC-C10,Analog and mixed-signal building blocks,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0111,CICC,CICC,2019,complete,"Millimeter-Wave Transceivers for Wireless Communication, Radar, and Sensing : (Invited Paper)",Aritra Banerjee|Kristof Vaesen|Akshay Visweswaran|Khaled Khalaf|Qixian Shi|Steven Brebels|Davide Guermandi|Cheng-Hsueh Tsai|Johan Nguyen|Alaa Medra|Yao Liu|Giovanni Mangraviti|Orges Furxhi|Bert Gyselinckx|Andre Bourdoux|Jan Craninckx|Piet Wambacq,Technical Program,,accepted_paper,10.1109/cicc.2019.8780147,,https://doi.org/10.1109/cicc.2019.8780147,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780147,paper,primary,verified,high,T12,rf_mmwave_thz,rf|mmwave|pll|radar|wireless|thz,CICC-C02,"RF, mmWave, THz, radar, wireless, and clock generation",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0112,CICC,CICC,2019,complete,Mixed-Signal Electrical Interfaces,Elad Alon,Technical Program,,accepted_paper,10.1109/cicc.2019.8780299,,https://doi.org/10.1109/cicc.2019.8780299,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780299,paper,primary,verified,high,T12,rf_mmwave_thz,rf|mmwave|pll|radar|wireless|thz,CICC-C02,"RF, mmWave, THz, radar, wireless, and clock generation",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0113,CICC,CICC,2019,complete,Mobile deep learning processors on the edge,Hoi-Jun Yoo,Technical Program,,accepted_paper,10.1109/cicc.2019.8780154,,https://doi.org/10.1109/cicc.2019.8780154,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780154,paper,primary,verified,high,T01/T02/T04/T06,digital_soc_accelerators,ai_accelerator|processor|soc|llm|transformer|cnn,CICC-C06,Digital SoCs and domain accelerators,split_candidate,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0114,CICC,CICC,2019,complete,Nanoscale CMOS Implications on Analog/Mixed-Signal Design,Alvin L.S. Loke|C.K. Lee|B. Mike Leary,Technical Program,,accepted_paper,10.1109/cicc.2019.8780267,,https://doi.org/10.1109/cicc.2019.8780267,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780267,paper,primary,verified,high,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,CICC-C10,Analog and mixed-signal building blocks,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0115,CICC,CICC,2019,complete,New Frontiers in Hardware Security in the IoT Regime,Swarup Bhunia,Technical Program,,accepted_paper,10.1109/cicc.2019.8780176,,https://doi.org/10.1109/cicc.2019.8780176,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780176,paper,primary,verified,high,T08/T11/T12,security_reliability,security|puf|trng|crypto|side_channel|reliability,CICC-C08,"Security, PUF, TRNG, side-channel, and reliability circuits",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2019-P0116,CICC,CICC,2019,complete,On-Chip Physical Attack Protection Circuits for Hardware Security : Invited Paper,Makoto Nagata|Takuji Miki|Noriyuki Miura,Technical Program,,accepted_paper,10.1109/cicc.2019.8780386,,https://doi.org/10.1109/cicc.2019.8780386,,,https://dblp.org/db/conf/cicc/cicc2019.html,,https://doi.org/10.1109/CICC.2019,,Crossref metadata for 2019 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2019.8780386,paper,primary,verified,high,T08/T11/T12,security_reliability,security|puf|trng|crypto|side_channel|reliability,CICC-C08,"Security, PUF, TRNG, side-channel, and reliability circuits",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
